FEATURE,STAT,accuracy,ap,auroc,base_rate,f1,threshold
surprisal,mean,0.7332123411978222,0.4269810655318208,0.7281705407683969,0.20689655172413793,0.48056537102473496,0.47059017950547666
surprisal,max,0.6642468239564429,0.349708551621959,0.6880043357822474,0.20689655172413793,0.43425076452599387,3.4253287315368652
surprisal,sum,0.7114337568058077,0.4165258634393791,0.7232124934762536,0.20689655172413793,0.4887459807073955,13.63637639823493
surprisal,last,0.7186932849364791,0.3535402581676818,0.681781685334618,0.20689655172413793,0.4709897610921502,0.2925802767276764
entropy,mean,0.7150635208711433,0.46235346714169884,0.7649845437392108,0.20689655172413793,0.5285285285285285,0.38235665501225585
entropy,max,0.7150635208711433,0.40784817618513175,0.7437673130193906,0.20689655172413793,0.5015873015873016,1.6827020558317929
entropy,sum,0.6878402903811253,0.4243684824080368,0.7388494118591674,0.20689655172413793,0.4880952380952381,10.711964069993693
entropy,last,0.7277676950998185,0.43163000102752747,0.7020755550202737,0.20689655172413793,0.4791666666666667,0.7073238835918056
