FAST,FEATURE,MODE,SLOW,accuracy,ap,auroc,base_rate,f1,threshold
0.3,entropy,max_gap,0.02,0.7277676950998185,0.34422224552375774,0.6695270785659801,0.20689655172413793,0.4230769230769231,0.5543697380407633
0.3,entropy,max_gap,0.05,0.7132486388384754,0.3599229294015903,0.6944176803564976,0.20689655172413793,0.44755244755244755,0.454226967632348
0.3,entropy,max_gap,0.1,0.7368421052631579,0.372812221013055,0.7090409089084266,0.20689655172413793,0.44866920152091255,0.3841989678374569
0.3,entropy,max_gap,0.2,0.6297640653357531,0.38181309766902966,0.7149624633666546,0.20689655172413793,0.45161290322580644,0.1312537787353264
0.3,entropy,area,0.02,0.5607985480943739,0.3601886564116314,0.6657533421654823,0.20689655172413793,0.41262135922330095,0.7865823907051608
0.3,entropy,area,0.05,0.7078039927404719,0.3854453538619126,0.6926311774860492,0.20689655172413793,0.44673539518900346,2.925492975588139
0.3,entropy,area,0.1,0.7313974591651543,0.40594632584393747,0.7105062427235136,0.20689655172413793,0.4676258992805755,2.3903231284318993
0.3,entropy,area,0.2,0.7005444646098004,0.41503111475703397,0.7215665020675258,0.20689655172413793,0.48598130841121495,0.8174170299060969
0.3,surprisal,max_gap,0.02,0.6370235934664247,0.3384556016951239,0.6667569954634871,0.20689655172413793,0.42857142857142855,0.7918116624511862
0.3,surprisal,max_gap,0.05,0.6533575317604355,0.3464040000652318,0.6796338672768879,0.20689655172413793,0.4365781710914454,0.7690906518089624
0.3,surprisal,max_gap,0.1,0.6424682395644283,0.35222645666169794,0.6923501545626078,0.20689655172413793,0.45125348189415043,0.5353525986511319
0.3,surprisal,max_gap,0.2,0.6533575317604355,0.3503791389239949,0.6928620177445903,0.20689655172413793,0.45272206303724927,0.2814663763027099
0.3,surprisal,area,0.02,0.6406533575317604,0.3638446394116103,0.6659942189570035,0.20689655172413793,0.42105263157894735,3.7449811239414545
0.3,surprisal,area,0.05,0.6497277676950998,0.3770248312172906,0.6860572483841182,0.20689655172413793,0.45014245014245013,2.9287887148492957
0.3,surprisal,area,0.1,0.6569872958257713,0.39076179578565123,0.7060199124814324,0.20689655172413793,0.46458923512747874,2.282690065300216
0.3,surprisal,area,0.2,0.6787658802177858,0.3935011494456583,0.7140391023324902,0.20689655172413793,0.4716417910447761,1.0775711029847053
0.45,entropy,max_gap,0.02,0.7005444646098004,0.3467831271195035,0.676903930306315,0.20689655172413793,0.4250871080139373,0.7014468807983715
0.45,entropy,max_gap,0.05,0.7313974591651543,0.35765472341863563,0.6986631338070577,0.20689655172413793,0.44360902255639095,0.7060569365111241
0.45,entropy,max_gap,0.1,0.631578947368421,0.3727478697610475,0.7123529647918423,0.20689655172413793,0.44986449864498645,0.44644039672915137
0.45,entropy,max_gap,0.2,0.588021778584392,0.37798678023539944,0.721606648199446,0.20689655172413793,0.4556354916067146,0.2792835445184539
0.45,entropy,max_gap,0.3,0.6642468239564429,0.38341818449599063,0.7265044762937091,0.20689655172413793,0.4699140401146132,0.1954824533967724
0.45,entropy,area,0.02,0.631578947368421,0.3710428777009476,0.6816010277409772,0.20689655172413793,0.42492917847025496,2.3845100738380203
0.45,entropy,area,0.05,0.7241379310344828,0.3928414829430572,0.704022642418403,0.20689655172413793,0.45323741007194246,4.192532471113064
0.45,entropy,area,0.1,0.6987295825771325,0.41138096826546333,0.7173511582159059,0.20689655172413793,0.47468354430379744,2.8290084924417784
0.45,entropy,area,0.2,0.705989110707804,0.41813323348888937,0.7263639648319884,0.20689655172413793,0.4840764331210191,1.85494714912133
0.45,entropy,area,0.3,0.6969147005444646,0.41768910782346086,0.7287928058131599,0.20689655172413793,0.4797507788161994,0.9856983488144858
0.45,surprisal,max_gap,0.02,0.6533575317604355,0.33766197087703825,0.6710225219800072,0.20689655172413793,0.4365781710914454,1.2694587037682061
0.45,surprisal,max_gap,0.05,0.6515426497277677,0.34558360120108095,0.6854851660042555,0.20689655172413793,0.4482758620689655,1.1265364271180536
0.45,surprisal,max_gap,0.1,0.6533575317604355,0.3503957643242223,0.6928820908105504,0.20689655172413793,0.45272206303724927,0.9869645097524531
0.45,surprisal,max_gap,0.2,0.6515426497277677,0.34628512614754053,0.6942069131639167,0.20689655172413793,0.4514285714285714,0.689394435166245
0.45,surprisal,max_gap,0.3,0.6787658802177858,0.3422673609167924,0.6926612870849893,0.20689655172413793,0.4485981308411215,0.4708459361632569
0.45,surprisal,area,0.02,0.6406533575317604,0.3698272607117525,0.6762816652615521,0.20689655172413793,0.4342857142857143,4.380341459082996
0.45,surprisal,area,0.05,0.6569872958257713,0.3869934655431923,0.6980709783612349,0.20689655172413793,0.4584527220630373,4.078743799375359
0.45,surprisal,area,0.1,0.6842105263157895,0.3966193393373454,0.7116303344172789,0.20689655172413793,0.4695121951219512,3.7086284409415042
0.45,surprisal,area,0.2,0.73502722323049,0.3974254854250182,0.7177325464691477,0.20689655172413793,0.4785714285714286,3.269199273459235
0.45,surprisal,area,0.3,0.6805807622504537,0.39965839096232797,0.7188164920309928,0.20689655172413793,0.4823529411764706,1.2494172805689585
0.6,entropy,max_gap,0.02,0.5190562613430127,0.3393051446358675,0.6786904331767634,0.20689655172413793,0.4226579520697168,0.4512124262028767
0.6,entropy,max_gap,0.05,0.73502722323049,0.3552999460870259,0.6996065679071821,0.20689655172413793,0.44274809160305345,0.8933136772113408
0.6,entropy,max_gap,0.1,0.7441016333938294,0.3685192400543181,0.712092014934361,0.20689655172413793,0.45136186770428016,0.8033003081353411
0.6,entropy,max_gap,0.2,0.604355716878403,0.37711510537587417,0.7217873057930868,0.20689655172413793,0.4577114427860697,0.4598175466835805
0.6,entropy,max_gap,0.3,0.6733212341197822,0.3816985924128291,0.7218073788590469,0.20689655172413793,0.4642857142857143,0.3994682205145559
