ALPHA,FEATURE,FLOOR,accuracy,ap,auroc,base_rate,f1,threshold
0.2,surprisal,0.5,0.7168784029038112,0.4095808480961858,0.7042835922758842,0.20689655172413793,0.4583333333333333,0.19192531097745283
0.2,surprisal,1.0,0.7150635208711433,0.39535642821217537,0.6946685936809989,0.20689655172413793,0.4641638225255973,0.10594498357575144
0.35,entropy,0.0,0.8148820326678766,0.5002939607847909,0.7700630294271147,0.20689655172413793,0.5446428571428571,0.6177791963564601
0.35,entropy,0.5,0.8058076225045372,0.5069937988646214,0.7783632422016139,0.20689655172413793,0.5367965367965368,0.286876794878157
0.35,entropy,1.0,0.8021778584392014,0.4848012629802484,0.7619535107792365,0.20689655172413793,0.5198237885462555,0.09166921822770141
0.35,surprisal,0.0,0.6406533575317604,0.4224585015005832,0.7293749247260026,0.20689655172413793,0.45901639344262296,0.21061392351180108
0.35,surprisal,0.5,0.6206896551724138,0.3928461688379532,0.6986631338070577,0.20689655172413793,0.43967828418230565,0.050211026230228606
0.35,surprisal,1.0,0.6660617059891107,0.3718190719267029,0.6796338672768879,0.20689655172413793,0.43209876543209874,0.03781912656605025
0.5,entropy,0.0,0.809437386569873,0.49548283052937886,0.7620338030430768,0.20689655172413793,0.5333333333333333,0.6401382632979675
0.5,entropy,0.5,0.7658802177858439,0.49541012317021643,0.7701734312898952,0.20689655172413793,0.5204460966542751,0.2366032949514246
0.5,entropy,1.0,0.7568058076225045,0.4819512284222114,0.756995463487093,0.20689655172413793,0.5144927536231884,0.023828241426010546
0.5,surprisal,0.0,0.6533575317604355,0.4063004048764105,0.7254004576659039,0.20689655172413793,0.4709141274238227,0.1823816443399193
0.5,surprisal,0.5,0.5698729582577132,0.3782994872747825,0.6974386767834919,0.20689655172413793,0.4397163120567376,0.008810977934444963
0.5,surprisal,1.0,0.6460980036297641,0.3553631399208184,0.6714842024970894,0.20689655172413793,0.42136498516320475,0.009047092637047172
0.75,entropy,0.0,0.7858439201451906,0.46587894404142094,0.7364607170099161,0.20689655172413793,0.5,0.7744116154715367
0.75,entropy,0.5,0.7150635208711433,0.4633060296666247,0.7533321289493757,0.20689655172413793,0.49517684887459806,0.15853777843309985
0.75,entropy,1.0,0.7676950998185118,0.46106141317295235,0.7481030952667711,0.20689655172413793,0.5038759689922481,0.01486481441270271
0.75,surprisal,0.0,0.7441016333938294,0.37722292261159174,0.7168493315669036,0.20689655172413793,0.4835164835164835,0.36233552413024517
0.75,surprisal,0.5,0.6950998185117967,0.3608026309375821,0.6968766309366092,0.20689655172413793,0.45806451612903226,0.015571645918149926
0.75,surprisal,1.0,0.6134301270417423,0.34046390463625115,0.6664257898751456,0.20689655172413793,0.4099722991689751,7.335074429862232e-05
1.0,entropy,0.0,0.7277676950998185,0.43163000102752747,0.7020755550202737,0.20689655172413793,0.4791666666666667,0.7073238835918056
1.0,entropy,0.5,0.7277676950998185,0.40689886333177655,0.6961540005620458,0.20689655172413793,0.4791666666666667,0.20732388359180565
1.0,entropy,1.0,0.7803992740471869,0.341797680939578,0.6534786623308845,0.20689655172413793,0.4474885844748858,0.025535785434364966
1.0,surprisal,0.0,0.7186932849364791,0.3535402581676818,0.681781685334618,0.20689655172413793,0.4709897610921502,0.2925802767276764
1.0,surprisal,0.5,0.7495462794918331,0.266183887573662,0.6235497209843831,0.20689655172413793,0.41025641025641024,0.03045201301574707
1.0,surprisal,1.0,0.20689655172413793,0.21047296532176427,0.572865229435144,0.20689655172413793,0.34285714285714286,0.0
