ALPHA,FEATURE,FLOOR,MIX,accuracy,ap,auroc,base_rate,f1,threshold
0.1,entropy,0.0,0.0,0.7803992740471869,0.478871125999308,0.767573969248063,0.20689655172413793,0.5179282868525896,0.5390453054356616
0.1,entropy,0.0,0.25,0.7459165154264973,0.4723859460745463,0.7592637199405837,0.20689655172413793,0.5070422535211268,0.5733647928259469
0.1,entropy,0.0,0.5,0.7332123411978222,0.45220861187416544,0.7432454133044282,0.20689655172413793,0.5083612040133779,0.6401951034112047
0.1,entropy,0.0,0.75,0.705989110707804,0.41301079514913747,0.7227307398932112,0.20689655172413793,0.474025974025974,0.7107123994897795
0.1,entropy,0.0,1.0,0.7005444646098004,0.37963871180486664,0.7050062226504477,0.20689655172413793,0.45544554455445546,0.80610206054002
0.1,entropy,0.5,0.0,0.8021778584392014,0.4818722022427045,0.7720000802922639,0.20689655172413793,0.5281385281385281,0.26265718873182775
0.1,entropy,0.5,0.25,0.7495462794918331,0.47235271151846187,0.7621843510377775,0.20689655172413793,0.5140845070422535,0.26461153531623727
0.1,entropy,0.5,0.5,0.7241379310344828,0.45087563773628464,0.7482335701955116,0.20689655172413793,0.5064935064935064,0.2808159074609735
0.1,entropy,0.5,0.75,0.6733212341197822,0.4184682388436088,0.7343430085511261,0.20689655172413793,0.4857142857142857,0.25998381846399055
0.1,entropy,0.5,1.0,0.6460980036297641,0.3953382506340831,0.7227207033602312,0.20689655172413793,0.4743935309973046,0.26678363216586365
0.1,entropy,1.0,0.0,0.7604355716878403,0.4749120169364205,0.7691998875908306,0.20689655172413793,0.5285714285714286,0.056099496545484726
0.1,entropy,1.0,0.25,0.7332123411978222,0.46422952378680865,0.7632783331326026,0.20689655172413793,0.5211726384364821,0.06630281188359108
0.1,entropy,1.0,0.5,0.7150635208711433,0.44168310846558767,0.7544060379782408,0.20689655172413793,0.5198776758409785,0.07187594190494025
0.1,entropy,1.0,0.75,0.7078039927404719,0.42294507409355725,0.7470191497049259,0.20689655172413793,0.513595166163142,0.0823185362161315
0.1,entropy,1.0,1.0,0.7023593466424682,0.41174952805320786,0.7414187643020596,0.20689655172413793,0.5,0.09827794690051275
0.1,surprisal,0.0,0.0,0.7731397459165155,0.4138132002574598,0.720141314384359,0.20689655172413793,0.46808510638297873,0.5965643916799475
0.1,surprisal,0.0,0.25,0.7041742286751361,0.3676246161890218,0.7076759404231402,0.20689655172413793,0.46204620462046203,0.5496362051664867
0.1,surprisal,0.0,0.5,0.6751361161524501,0.3464969495151748,0.6940262555702758,0.20689655172413793,0.4492307692307692,0.6206358759182786
0.1,surprisal,0.0,0.75,0.5989110707803993,0.32718728138324715,0.6829659962262636,0.20689655172413793,0.43765903307888043,0.5506490155181687
0.1,surprisal,0.0,1.0,0.5952813067150635,0.3195522203867881,0.6739732626761411,0.20689655172413793,0.43544303797468353,0.6278552325666138
0.1,surprisal,0.5,0.0,0.7441016333938294,0.3966694809213603,0.7048255650568068,0.20689655172413793,0.45977011494252873,0.30055723077300933
0.1,surprisal,0.5,0.25,0.7114337568058077,0.35788368141450344,0.6994861295114215,0.20689655172413793,0.45733788395904434,0.36326933748660395
0.1,surprisal,0.5,0.5,0.6098003629764065,0.3401692376442611,0.6914368300614235,0.20689655172413793,0.44155844155844154,0.27535665176566315
0.1,surprisal,0.5,0.75,0.6152450090744102,0.3298182801075871,0.6837889919306275,0.20689655172413793,0.4421052631578947,0.3505486808660365
0.1,surprisal,0.5,1.0,0.5862068965517241,0.323271601890646,0.6769842225701553,0.20689655172413793,0.4411764705882353,0.3571155071258545
0.1,surprisal,1.0,0.0,0.7513611615245009,0.38553531137771924,0.6996868601710226,0.20689655172413793,0.47509578544061304,0.19288321640463807
0.1,surprisal,1.0,0.25,0.7368421052631579,0.35199471159824886,0.6977598458388534,0.20689655172413793,0.46494464944649444,0.2673870908539998
0.1,surprisal,1.0,0.5,0.7096188747731398,0.34018903801147654,0.6931430406680317,0.20689655172413793,0.4444444444444444,0.31722690603358294
0.1,surprisal,1.0,0.75,0.6025408348457351,0.3323754254507048,0.6870207555502027,0.20689655172413793,0.4370179948586118,0.21676134388504836
0.1,surprisal,1.0,1.0,0.5862068965517241,0.3292270336622942,0.683066361556064,0.20689655172413793,0.43564356435643564,0.21915030380956046
0.2,entropy,0.0,0.0,0.7422867513611615,0.49806236297714446,0.7736761812999318,0.20689655172413793,0.5328947368421053,0.4136465410207236
0.2,entropy,0.0,0.25,0.8003629764065335,0.49674236755520834,0.776265606808784,0.20689655172413793,0.5258620689655172,0.6848502675872041
0.2,entropy,0.0,0.5,0.7604355716878403,0.47642512527283043,0.7641816211008069,0.20689655172413793,0.5285714285714286,0.7180174759148037
0.2,entropy,0.0,0.75,0.7259528130671506,0.44189502732348185,0.7462563731984423,0.20689655172413793,0.5016501650165016,0.7924999197308495
0.2,entropy,0.0,1.0,0.6606170598911071,0.40060712682659055,0.7265847685575495,0.20689655172413793,0.4732394366197183,0.8018778041896671
0.2,entropy,0.5,0.0,0.8203266787658802,0.5031352701863464,0.7810329599743064,0.20689655172413793,0.5395348837209303,0.2960808533301125
0.2,entropy,0.5,0.25,0.7404718693284936,0.4965436170393401,0.7818358826127103,0.20689655172413793,0.528052805280528,0.2541776891743861
0.2,entropy,0.5,0.5,0.7404718693284936,0.4736726114155502,0.7671825444618411,0.20689655172413793,0.5249169435215947,0.3332983944486976
0.2,entropy,0.5,0.75,0.720508166969147,0.4434564127165078,0.7520675257938898,0.20689655172413793,0.51875,0.36808757189109514
0.2,entropy,0.5,1.0,0.7096188747731398,0.4105828710831714,0.7372536031153398,0.20689655172413793,0.5,0.440573140261384
0.2,entropy,1.0,0.0,0.8021778584392014,0.4854202192727305,0.7672728732586616,0.20689655172413793,0.5240174672489083,0.08206077367627998
0.2,entropy,1.0,0.25,0.7604355716878403,0.4819263952555028,0.7711469749889598,0.20689655172413793,0.5285714285714286,0.09657136196367125
0.2,entropy,1.0,0.5,0.7332123411978222,0.46264174140225883,0.7606286884258702,0.20689655172413793,0.5180327868852459,0.12155897580803843
0.2,entropy,1.0,0.75,0.7114337568058077,0.43053024504297405,0.750431570918142,0.20689655172413793,0.5137614678899083,0.13449379391325694
0.2,entropy,1.0,1.0,0.7132486388384754,0.4152910271607343,0.7430647557107872,0.20689655172413793,0.5093167701863354,0.16841037790244695
0.2,surprisal,0.0,0.0,0.676950998185118,0.4391182776687207,0.7308804046730097,0.20689655172413793,0.463855421686747,0.2947929073919034
0.2,surprisal,0.0,0.25,0.7422867513611615,0.4030068214941107,0.7170099160945843,0.20689655172413793,0.4621212121212121,0.712555577476613
0.2,surprisal,0.0,0.5,0.7223230490018149,0.36433303467214323,0.7029587699225179,0.20689655172413793,0.45161290322580644,0.9076885133842186
0.2,surprisal,0.0,0.75,0.5789473684210527,0.3388985812510354,0.6900116423782569,0.20689655172413793,0.4423076923076923,0.6917550004766603
0.2,surprisal,0.0,1.0,0.5771324863883848,0.32567118322332467,0.6778473644064394,0.20689655172413793,0.4439140811455847,0.8339595450083079
