FEATURE,NORM,THRESHOLD,WEIGHTED,accuracy,ap,auroc,base_rate,f1,threshold
surprisal,none,0.5,False,0.705989110707804,0.3955217590233489,0.7195290858725761,0.20689655172413793,0.46357615894039733,8.0
surprisal,none,0.5,True,0.720508166969147,0.4176986929005569,0.7192580994821149,0.20689655172413793,0.4866666666666667,9.016569554805756
surprisal,none,0.75,False,0.73502722323049,0.39684258473416023,0.7174515235457064,0.20689655172413793,0.45925925925925926,8.0
surprisal,none,0.75,True,0.7241379310344828,0.41549577071331206,0.7179132040627886,0.20689655172413793,0.47586206896551725,7.7543803453445435
surprisal,none,1.0,False,0.7023593466424682,0.40189927725421787,0.7194287205427757,0.20689655172413793,0.47435897435897434,5.0
surprisal,none,1.0,True,0.6823956442831216,0.41541611904186565,0.7162672126540608,0.20689655172413793,0.4648318042813456,4.671018719673157
surprisal,none,1.25,False,0.7441016333938294,0.40467607406174255,0.7151230478943353,0.20689655172413793,0.4835164835164835,5.0
surprisal,none,1.25,True,0.73502722323049,0.4104965178582433,0.7125637319844234,0.20689655172413793,0.4552238805970149,6.172902703285217
surprisal,none,1.5,False,0.676950998185118,0.39469269893819064,0.7159360070657192,0.20689655172413793,0.46706586826347307,3.0
surprisal,none,1.5,True,0.7332123411978222,0.4061979532735766,0.709974306475571,0.20689655172413793,0.45353159851301117,5.188677668571472
surprisal,none,1.75,False,0.7441016333938294,0.38506029281776977,0.705929583684612,0.20689655172413793,0.45977011494252873,4.0
surprisal,none,1.75,True,0.7313974591651543,0.40007891146109836,0.7029186237905978,0.20689655172413793,0.45985401459854014,4.011890172958374
surprisal,none,2.0,False,0.7223230490018149,0.3749087050563837,0.7011722670520696,0.20689655172413793,0.45161290322580644,3.0
surprisal,none,2.0,True,0.7168784029038112,0.38914079599416684,0.6969569232004497,0.20689655172413793,0.4507042253521127,2.8417537212371826
surprisal,none,2.25,False,0.7441016333938294,0.36894264920825176,0.6969067405355494,0.20689655172413793,0.45136186770428016,3.0
surprisal,none,2.25,True,0.720508166969147,0.3798611199587793,0.693424063591473,0.20689655172413793,0.4420289855072464,2.449918746948242
surprisal,none,2.5,False,0.7078039927404719,0.36514754084284295,0.7008009153318078,0.20689655172413793,0.4429065743944637,2.0
surprisal,none,2.5,True,0.7186932849364791,0.3742540130082855,0.6927215062828697,0.20689655172413793,0.4444444444444444,1.9761390686035156
surprisal,none,2.75,False,0.7313974591651543,0.3547687950875419,0.687070938215103,0.20689655172413793,0.44360902255639095,2.0
surprisal,none,2.75,True,0.7132486388384754,0.3621227607660203,0.6797141595407282,0.20689655172413793,0.44366197183098594,1.4672331809997559
surprisal,none,3.0,False,0.7513611615245009,0.3468880120978288,0.6872515958087438,0.20689655172413793,0.4541832669322709,2.0
surprisal,none,3.0,True,0.6932849364791288,0.3520079650440882,0.6755188887550685,0.20689655172413793,0.43853820598006643,0.9485471248626709
surprisal,none,3.25,False,0.7586206896551724,0.3337365979366053,0.6757999116785097,0.20689655172413793,0.4340425531914894,2.0
surprisal,none,3.25,True,0.6896551724137931,0.3312513101526254,0.6649805291260187,0.20689655172413793,0.43564356435643564,0.6098477840423584
surprisal,none,3.5,False,0.6660617059891107,0.30546277858200926,0.6658537074952828,0.20689655172413793,0.42857142857142855,1.0
surprisal,none,3.5,True,0.6751361161524501,0.3199593858971207,0.6581757597655465,0.20689655172413793,0.43174603174603177,0.1087191104888916
surprisal,none,3.75,False,0.6751361161524501,0.2778379947322342,0.6481693363844394,0.20689655172413793,0.4131147540983607,1.0
surprisal,none,3.75,True,0.6932849364791288,0.30650652673071827,0.6427295355092537,0.20689655172413793,0.4271186440677966,0.11583805084228516
surprisal,none,4.0,False,0.6950998185117967,0.25912843619513043,0.6278855032317636,0.20689655172413793,0.39568345323741005,1.0
surprisal,none,4.0,True,0.6987295825771325,0.28569202966405727,0.6261993656911157,0.20689655172413793,0.39855072463768115,0.009134292602539062
surprisal,none,4.25,False,0.7096188747731398,0.24619059222718442,0.6159621020514673,0.20689655172413793,0.38461538461538464,1.0
surprisal,none,4.25,True,0.7114337568058077,0.2763324364127517,0.6174073628005942,0.20689655172413793,0.3861003861003861,0.04527997970581055
surprisal,none,4.5,False,0.7186932849364791,0.23731250313741284,0.5982476213416837,0.20689655172413793,0.35684647302904565,1.0
surprisal,none,4.5,True,0.7186932849364791,0.2635520365247266,0.6012987273676181,0.20689655172413793,0.35684647302904565,0.01472330093383789
surprisal,none,4.75,False,0.20689655172413793,0.22901705612904796,0.5858324300453651,0.20689655172413793,0.34285714285714286,0.0
surprisal,none,4.75,True,0.7713248638838476,0.2514878822802882,0.5894455819181822,0.20689655172413793,0.35051546391752575,0.9999294281005859
surprisal,none,5.0,False,0.20689655172413793,0.22603729460131217,0.5834336986631338,0.20689655172413793,0.34285714285714286,0.0
surprisal,none,5.0,True,0.7767695099818511,0.24487174671900927,0.587498494520053,0.20689655172413793,0.35602094240837695,0.7499294281005859
surprisal,none,5.25,False,0.20689655172413793,0.2139942148867642,0.5877895539764744,0.20689655172413793,0.34285714285714286,0.0
surprisal,none,5.25,True,0.7767695099818511,0.2408323353465032,0.5907202216066482,0.20689655172413793,0.35602094240837695,0.49992942810058594
surprisal,none,5.5,False,0.20689655172413793,0.21051571736885086,0.5916536191737926,0.20689655172413793,0.34285714285714286,0.0
surprisal,none,5.5,True,0.7767695099818511,0.23795253571979705,0.5940623870890039,0.20689655172413793,0.35602094240837695,0.24992942810058594
surprisal,none,5.75,False,0.7767695099818511,0.20602188394316323,0.5963105704765346,0.20689655172413793,0.3492063492063492,1.0
surprisal,none,5.75,True,0.7767695099818511,0.2349428168271077,0.5974045525713597,0.20689655172413793,0.3492063492063492,0.015491962432861328
surprisal,none,6.0,False,0.20689655172413793,0.1920117389944948,0.5842466578345177,0.20689655172413793,0.34285714285714286,0.0
surprisal,none,6.0,True,0.20689655172413793,0.218553357210923,0.5842466578345177,0.20689655172413793,0.34285714285714286,0.0
surprisal,sqrt,0.5,False,0.7422867513611615,0.415113490814917,0.7287325866152796,0.20689655172413793,0.4892086330935252,1.4795908857482156
surprisal,sqrt,0.5,True,0.7150635208711433,0.4239029474555205,0.7220482556505681,0.20689655172413793,0.4713804713804714,1.6194236981363113
surprisal,sqrt,0.75,False,0.7005444646098004,0.420223688371948,0.7244570235657795,0.20689655172413793,0.4827586206896552,0.9863939238321437
surprisal,sqrt,0.75,True,0.7041742286751361,0.4217707769527191,0.7195792685374764,0.20689655172413793,0.46557377049180326,1.2191825518267352
surprisal,sqrt,1.0,False,0.7604355716878403,0.4327471195547718,0.7280099562407162,0.20689655172413793,0.5111111111111111,1.019049330730136
surprisal,sqrt,1.0,True,0.7713248638838476,0.41641099114803565,0.7154040708177767,0.20689655172413793,0.46153846153846156,1.5264607213341377
surprisal,sqrt,1.25,False,0.7477313974591652,0.43679815283884854,0.7203018989120398,0.20689655172413793,0.49454545454545457,0.7745966692414834
surprisal,sqrt,1.25,True,0.7096188747731398,0.4099915439210389,0.7112389096310571,0.20689655172413793,0.4520547945205479,0.8674951742201634
surprisal,sqrt,1.5,False,0.7041742286751361,0.424095634790206,0.71820426351921,0.20689655172413793,0.4758842443729904,0.5477225575051661
surprisal,sqrt,1.5,True,0.720508166969147,0.4029230936806069,0.7077261230880405,0.20689655172413793,0.45,0.8098530235436651
surprisal,sqrt,1.75,False,0.764065335753176,0.4180945775060467,0.7052571359749488,0.20689655172413793,0.4715447154471545,0.6324555320336759
surprisal,sqrt,1.75,True,0.7477313974591652,0.392718377148988,0.7013127785137901,0.20689655172413793,0.44621513944223107,0.773810122584591
surprisal,sqrt,2.0,False,0.7368421052631579,0.4114467120732608,0.7016540206351118,0.20689655172413793,0.46886446886446886,0.43193421279068006
surprisal,sqrt,2.0,True,0.7495462794918331,0.38054355638119947,0.6947488859448392,0.20689655172413793,0.4566929133858268,0.6411804890700069
surprisal,sqrt,2.25,False,0.7676950998185118,0.3993936589844934,0.6946184110160986,0.20689655172413793,0.4576271186440678,0.47140452079103173
surprisal,sqrt,2.25,True,0.7568058076225045,0.3723483594708497,0.690894857280501,0.20689655172413793,0.45081967213114754,0.5498933961524792
surprisal,sqrt,2.5,False,0.7295825771324864,0.39965020173626714,0.6992552892528805,0.20689655172413793,0.4581818181818182,0.2917299829957891
surprisal,sqrt,2.5,True,0.7332123411978222,0.35988500279738894,0.6892287928058132,0.20689655172413793,0.44528301886792454,0.36977203987411217
surprisal,sqrt,2.75,False,0.7604355716878403,0.3878886900573955,0.6861375406479586,0.20689655172413793,0.46774193548387094,0.2917299829957891
surprisal,sqrt,2.75,True,0.7404718693284936,0.3476075280528208,0.6762013729977117,0.20689655172413793,0.44357976653696496,0.3143992506311051
surprisal,sqrt,3.0,False,0.7803992740471869,0.37383997111859624,0.6856457505319362,0.20689655172413793,0.47619047619047616,0.2917299829957891
surprisal,sqrt,3.0,True,0.691470054446461,0.3335513655079556,0.6708217913204063,0.20689655172413793,0.43333333333333335,0.15550209661006292
surprisal,sqrt,3.25,False,0.6896551724137931,0.37156447003383614,0.6745252719900438,0.20689655172413793,0.45016077170418006,0.15617376188860607
surprisal,sqrt,3.25,True,0.6606170598911071,0.32191608442115366,0.661447669517042,0.20689655172413793,0.4316109422492401,0.029635964686907098
surprisal,sqrt,3.5,False,0.6932849364791288,0.3356258827360152,0.6618892769681641,0.20689655172413793,0.43478260869565216,0.1386750490563073
surprisal,sqrt,3.5,True,0.6678765880217786,0.3137172345585275,0.6556866995864948,0.20689655172413793,0.42990654205607476,0.012632216938350177
surprisal,sqrt,3.75,False,0.7277676950998185,0.3073399090107662,0.6448472439680437,0.20689655172413793,0.44029850746268656,0.15617376188860607
surprisal,sqrt,3.75,True,0.6950998185117967,0.295558854998378,0.6410634710345658,0.20689655172413793,0.4246575342465753,0.025277935063853087
surprisal,sqrt,4.0,False,0.6950998185117967,0.2819179581658391,0.6249046529366895,0.20689655172413793,0.39568345323741005,0.08084520834544433
surprisal,sqrt,4.0,True,0.6987295825771325,0.2821011261638608,0.6248343972058292,0.20689655172413793,0.39855072463768115,0.0015900762450634708
surprisal,sqrt,4.25,False,0.7096188747731398,0.26343882519179124,0.6140551607852583,0.20689655172413793,0.38461538461538464,0.08084520834544433
surprisal,sqrt,4.25,True,0.7114337568058077,0.2701503015445689,0.6161628327110683,0.20689655172413793,0.3861003861003861,0.005894951247133281
surprisal,sqrt,4.5,False,0.7223230490018149,0.2514290802338016,0.5978260869565217,0.20689655172413793,0.3598326359832636,0.08873565094161139
surprisal,sqrt,4.5,True,0.7186932849364791,0.25504633703923035,0.6003753663334538,0.20689655172413793,0.35684647302904565,0.0014368470455375605
surprisal,sqrt,4.75,False,0.20689655172413793,0.24781171920272999,0.5861636356337067,0.20689655172413793,0.34285714285714286,0.0
surprisal,sqrt,4.75,True,0.7803992740471869,0.24500938474804868,0.5887430246095788,0.20689655172413793,0.34594594594594597,0.18568223330432437
surprisal,sqrt,5.0,False,0.20689655172413793,0.24395575590718319,0.5835039543939942,0.20689655172413793,0.34285714285714286,0.0
surprisal,sqrt,5.0,True,0.7803992740471869,0.2400313995143201,0.586454695090128,0.20689655172413793,0.34594594594594597,0.13819096471749032
surprisal,sqrt,5.25,False,0.20689655172413793,0.23320949320402437,0.5863744028262877,0.20689655172413793,0.34285714285714286,0.0
surprisal,sqrt,5.25,True,0.7749546279491834,0.23657529524171456,0.5897968605724838,0.20689655172413793,0.3473684210526316,0.072179073258798
surprisal,sqrt,5.5,False,0.20689655172413793,0.22938916628043496,0.5900176642980449,0.20689655172413793,0.34285714285714286,0.0
surprisal,sqrt,5.5,True,0.7803992740471869,0.23325041066183017,0.5933799028463608,0.20689655172413793,0.35978835978835977,0.04068203384136239
surprisal,sqrt,5.75,False,0.7767695099818511,0.23260567157316525,0.5954373921072704,0.20689655172413793,0.3492063492063492,0.07930515857181442
surprisal,sqrt,5.75,True,0.7767695099818511,0.22985598399236074,0.5966417760648761,0.20689655172413793,0.3492063492063492,0.0028767852029963677
surprisal,sqrt,6.0,False,0.20689655172413793,0.21591462352699028,0.5833232968003533,0.20689655172413793,0.34285714285714286,0.0
surprisal,sqrt,6.0,True,0.20689655172413793,0.21348910766718296,0.5836243927897548,0.20689655172413793,0.34285714285714286,0.0
surprisal,len,0.5,False,0.6733212341197822,0.4152617352297635,0.7238548315869766,0.20689655172413793,0.47368421052631576,0.20689655172413793
surprisal,len,0.5,True,0.7259528130671506,0.4130487408271102,0.7149825364326147,0.20689655172413793,0.4664310954063604,0.2877930720647176
surprisal,len,0.75,False,0.720508166969147,0.4051501390935248,0.7165984182424023,0.20689655172413793,0.4726027397260274,0.19480519480519481
surprisal,len,0.75,True,0.7023593466424682,0.40632116272006813,0.7117507728130394,0.20689655172413793,0.44966442953020136,0.21134603396058083
surprisal,len,1.0,False,0.7568058076225045,0.43105699372892065,0.7208338351599823,0.20689655172413793,0.48854961832061067,0.16842105263157894
surprisal,len,1.0,True,0.705989110707804,0.39886979902702485,0.7057489260909712,0.20689655172413793,0.4489795918367347,0.177391149780967
surprisal,len,1.25,False,0.7513611615245009,0.42883176084426294,0.7104560600586134,0.20689655172413793,0.49070631970260226,0.1368421052631579
surprisal,len,1.25,True,0.5898366606170599,0.3901748861553364,0.7017242763659721,0.20689655172413793,0.4405940594059406,0.06362418901352655
surprisal,len,1.5,False,0.7386569872958257,0.41479280453216133,0.7068529447187764,0.20689655172413793,0.4666666666666667,0.11428571428571428
surprisal,len,1.5,True,0.7259528130671506,0.38120612645829743,0.6975490786462725,0.20689655172413793,0.43866171003717475,0.1368901457105364
surprisal,len,1.75,False,0.7332123411978222,0.3993802119854069,0.695130274198081,0.20689655172413793,0.45353159851301117,0.09448818897637795
surprisal,len,1.75,True,0.617059891107078,0.3703463971504853,0.6909550764783813,0.20689655172413793,0.43733333333333335,0.044885714848836265
surprisal,len,2.0,False,0.7495462794918331,0.3826514193645549,0.6952105664619214,0.20689655172413793,0.48120300751879697,0.07692307692307693
surprisal,len,2.0,True,0.6297640653357531,0.35955903169120523,0.6849130836243927,0.20689655172413793,0.43646408839779005,0.03760885547947239
surprisal,len,2.25,False,0.7586206896551724,0.372411832692942,0.6868501344895419,0.20689655172413793,0.44813278008298757,0.07692307692307693
surprisal,len,2.25,True,0.6061705989110708,0.3525105673662239,0.6809787626962143,0.20689655172413793,0.43636363636363634,0.01676415360492209
surprisal,len,2.5,False,0.604355716878403,0.3627402300581373,0.6914669396603638,0.20689655172413793,0.441025641025641,0.0196078431372549
surprisal,len,2.5,True,0.5862068965517241,0.3440969517205233,0.6797543056726485,0.20689655172413793,0.43283582089552236,0.0009519755840301514
surprisal,len,2.75,False,0.6424682395644283,0.35033714013780176,0.6763218113934722,0.20689655172413793,0.44192634560906513,0.02247191011235955
