ALPHA,FEATURE,FLOOR,MIN_OBS,MODE,N,accuracy,ap,auroc,base_rate,f1,threshold
0.2,entropy,1.0,2,ewma_max,5,0.7531760435571688,0.42803630049021724,0.7543658918463206,0.20689655172413793,0.5211267605633803,0.7959010841341942
0.2,entropy,1.0,2,ewma_max,10,0.7531760435571688,0.4391537899263536,0.7567947328274921,0.20689655172413793,0.5211267605633803,0.7969959207141594
0.2,surprisal,0.25,2,max,3,0.5698729582577132,0.28371587453432956,0.6605042354169176,0.20689655172413793,0.42891566265060244,7.264200210571289
0.2,surprisal,0.25,2,max,5,0.5226860254083484,0.27335540211163856,0.6468946966959733,0.20689655172413793,0.4194260485651214,6.28169059753418
0.2,surprisal,0.25,2,max,10,0.5716878402903811,0.30242536369192885,0.6603235778232768,0.20689655172413793,0.42718446601941745,7.428357124328613
0.2,surprisal,0.25,2,ewma_final,3,0.6606170598911071,0.3512284055848218,0.7123529647918423,0.20689655172413793,0.4610951008645533,0.8397407115167798
0.2,surprisal,0.25,2,ewma_final,5,0.6823956442831216,0.35350315776281743,0.7069533100485769,0.20689655172413793,0.4648318042813456,0.8700232614733013
0.2,surprisal,0.25,2,ewma_final,10,0.5970961887477314,0.31101791586223254,0.6719258099482115,0.20689655172413793,0.4393939393939394,0.6185938079548231
0.2,surprisal,0.25,2,ewma_max,3,0.6061705989110708,0.30397644625804116,0.6818419045324983,0.20689655172413793,0.4506329113924051,2.0722208741237087
0.2,surprisal,0.25,2,ewma_max,5,0.6261343012704175,0.29355146934188875,0.6730298285760167,0.20689655172413793,0.4521276595744681,2.271774666177752
0.2,surprisal,0.25,2,ewma_max,10,0.6896551724137931,0.3316715258803145,0.6817415392026979,0.20689655172413793,0.4605678233438486,2.8241046854628715
0.2,surprisal,0.5,2,max,3,0.5789473684210527,0.3113935063146739,0.6830864346220241,0.20689655172413793,0.4368932038834951,4.258969306945801
0.2,surprisal,0.5,2,max,5,0.5753176043557169,0.3028435571708778,0.6761210807338713,0.20689655172413793,0.4375,4.258969306945801
0.2,surprisal,0.5,2,max,10,0.6279491833030852,0.3075767055962509,0.6761612268657915,0.20689655172413793,0.450402144772118,5.048395156860352
0.2,surprisal,0.5,2,ewma_final,3,0.6533575317604355,0.40509515105158894,0.7308804046730097,0.20689655172413793,0.4709141274238227,0.4559622935962081
0.2,surprisal,0.5,2,ewma_final,5,0.6460980036297641,0.3981573433330271,0.7273676181299932,0.20689655172413793,0.46866485013623976,0.45378887060913076
0.2,surprisal,0.5,2,ewma_final,10,0.6370235934664247,0.3791525604616383,0.7145007828495724,0.20689655172413793,0.4594594594594595,0.4482443485313207
0.2,surprisal,0.5,2,ewma_max,3,0.6660617059891107,0.3446075395477931,0.7034605965715204,0.20689655172413793,0.4619883040935672,1.533665995939006
0.2,surprisal,0.5,2,ewma_max,5,0.6497277676950998,0.3303423211562448,0.6955518085832431,0.20689655172413793,0.46831955922865015,1.4816565638671522
0.2,surprisal,0.5,2,ewma_max,10,0.6715063520871143,0.34077081559513767,0.7007306596009475,0.20689655172413793,0.4813753581661891,1.6639633768693733
0.2,surprisal,1.0,2,max,3,0.6606170598911071,0.33922345457228276,0.6968364848046891,0.20689655172413793,0.45161290322580644,3.0026168823242188
