ENTRY_Z,FEATURE,MIN_STD,W,WINDOW,accuracy,ap,auroc,base_rate,f1,threshold
2.0,entropy,0.5,0.0,5,0.7150635208711433,0.46235346714169884,0.7649845437392108,0.20689655172413793,0.5285285285285285,0.38235665501225585
2.0,entropy,0.5,0.0,10,0.7150635208711433,0.46235346714169884,0.7649845437392108,0.20689655172413793,0.5285285285285285,0.38235665501225585
2.0,entropy,0.5,0.02,5,0.7168784029038112,0.46289244879999564,0.7653458589264924,0.20689655172413793,0.5301204819277109,0.3852301174377382
2.0,entropy,0.5,0.02,10,0.7168784029038112,0.46391223703556234,0.765687101047814,0.20689655172413793,0.5301204819277109,0.3850774632701398
2.0,entropy,0.5,0.05,5,0.7168784029038112,0.4632326204269703,0.766108635432976,0.20689655172413793,0.5301204819277109,0.3895403110759617
2.0,entropy,0.5,0.05,10,0.7132486388384754,0.46301058848364585,0.7661287084989361,0.20689655172413793,0.5269461077844312,0.38800792592049943
2.0,entropy,0.5,0.1,5,0.7078039927404719,0.4651389897721693,0.7674133847203822,0.20689655172413793,0.5250737463126843,0.3879566431903834
2.0,entropy,0.5,0.1,10,0.7096188747731398,0.4656315854912968,0.7672728732586616,0.20689655172413793,0.5266272189349113,0.389790177855373
2.0,entropy,0.5,0.2,5,0.7132486388384754,0.472645598132209,0.7694608374483118,0.20689655172413793,0.5269461077844312,0.41109127926707933
2.0,entropy,0.5,0.2,10,0.7604355716878403,0.47132910403339423,0.7698622987675138,0.20689655172413793,0.5352112676056338,0.48197444110889404
2.0,entropy,0.5,0.5,5,0.7495462794918331,0.4719542979175684,0.7702637600867156,0.20689655172413793,0.5337837837837838,0.506575300233498
2.0,entropy,0.5,0.5,10,0.7495462794918331,0.4794508142259566,0.772451724276366,0.20689655172413793,0.5306122448979592,0.5058265717709978
2.0,entropy,0.5,1.0,5,0.7368421052631579,0.4584761769797499,0.7678951383034245,0.20689655172413793,0.5245901639344263,0.5527741418402452
2.0,entropy,0.5,1.0,10,0.7186932849364791,0.4797037627065262,0.771809386165643,0.20689655172413793,0.5230769230769231,0.5183970679064542
2.0,entropy,0.5,2.0,5,0.7313974591651543,0.44814075037332113,0.7587418202256213,0.20689655172413793,0.5256410256410257,0.6697028975604907
2.0,entropy,0.5,2.0,10,0.7259528130671506,0.4522186569611815,0.7639005981773657,0.20689655172413793,0.5049180327868853,0.6866477784965513
2.0,surprisal,0.5,0.0,5,0.7332123411978222,0.4269810655318208,0.7281705407683969,0.20689655172413793,0.48056537102473496,0.47059017950547666
2.0,surprisal,0.5,0.0,10,0.7332123411978222,0.4269810655318208,0.7281705407683969,0.20689655172413793,0.48056537102473496,0.47059017950547666
2.0,surprisal,0.5,0.02,5,0.7168784029038112,0.4254708950508503,0.7286924404833595,0.20689655172413793,0.48,0.464565994051881
2.0,surprisal,0.5,0.02,10,0.7096188747731398,0.4267508642581613,0.7284114175599181,0.20689655172413793,0.47368421052631576,0.4595321226590122
