ENTRY_Z,FEATURE,MIN_OBS,MIN_STD,NORM,WEIGHTED,WINDOW,accuracy,ap,auroc,base_rate,f1,threshold
1.5,entropy,5,0.5,sqrt,True,15,0.7386569872958257,0.4030068902340988,0.7236239913284355,0.20689655172413793,0.49295774647887325,0.37098002042837314
0.5,entropy,2,1.0,sqrt,False,10,0.6932849364791288,0.4309313575540202,0.742583002127745,0.20689655172413793,0.4735202492211838,0.9258200997725514
2.0,surprisal,5,0.5,sqrt,False,20,0.6297640653357531,0.36633936760883457,0.6902123730378578,0.20689655172413793,0.4486486486486487,0.2672612419124244
1.5,surprisal,2,1.0,none,True,5,0.6950998185117967,0.37632732312390255,0.7029186237905978,0.20689655172413793,0.45098039215686275,2.4456891789238737
1.5,surprisal,5,1.0,none,True,10,0.6424682395644283,0.3565621806437995,0.7044241037376049,0.20689655172413793,0.46612466124661245,0.8937875459407225
3.0,entropy,3,0.25,sqrt,False,20,0.515426497277677,0.27904303258204743,0.5880906499658758,0.20689655172413793,0.3657957244655582,0.07930515857181442
1.0,entropy,2,0.5,len,False,20,0.6079854809437386,0.37798329457299973,0.7277289333172748,0.20689655172413793,0.46534653465346537,0.13333333333333333
2.5,surprisal,3,0.25,none,True,10,0.6243194192377496,0.31715849945951374,0.6788911638363644,0.20689655172413793,0.4420485175202156,6.105060963892052
1.0,entropy,3,1.0,sqrt,True,5,0.7604355716878403,0.41809692252740405,0.7346742141394677,0.20689655172413793,0.484375,0.11950784453907815
2.5,surprisal,5,0.5,none,True,10,0.647912885662432,0.3298451960240664,0.6913665743305633,0.20689655172413793,0.46408839779005523,2.287575091881445
3.0,surprisal,2,0.5,len,True,10,0.6098003629764065,0.2886947843644912,0.6573929101931029,0.20689655172413793,0.4356955380577428,0.047629033077078484
1.5,entropy,5,1.0,len,True,20,0.7622504537205081,0.3086269213734597,0.6435424946806375,0.20689655172413793,0.4279475982532751,0.00018726370099813957
3.0,entropy,2,1.0,len,True,10,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
2.0,surprisal,3,0.25,none,True,10,0.6333938294010889,0.323726419510612,0.6818920871973986,0.20689655172413793,0.44505494505494503,7.588842504766944
2.0,entropy,3,1.0,sqrt,False,5,0.20689655172413793,0.14013483929116793,0.5183869284194468,0.20689655172413793,0.34285714285714286,0.0
1.0,entropy,5,0.25,len,False,5,0.6152450090744102,0.35300452450599096,0.6915974145891043,0.20689655172413793,0.43915343915343913,0.17142857142857143
1.0,surprisal,3,0.25,none,False,5,0.6696914700544465,0.35438619618649914,0.686649403829941,0.20689655172413793,0.43125,5.0
0.5,entropy,2,1.0,sqrt,False,15,0.6787658802177858,0.4323087549068899,0.7473202456943273,0.20689655172413793,0.4778761061946903,0.8980265101338746
0.5,entropy,2,1.0,sqrt,True,10,0.7241379310344828,0.45032082242420846,0.7572965594764944,0.20689655172413793,0.5064935064935064,0.3752709618535339
3.0,entropy,5,1.0,none,True,15,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
2.0,entropy,2,0.5,none,False,5,0.6969147005444646,0.33914352356904776,0.7185455056405315,0.20689655172413793,0.46645367412140576,2.0
3.0,entropy,2,0.5,sqrt,False,20,0.7749546279491834,0.27828361636395665,0.6234192460556426,0.20689655172413793,0.39805825242718446,0.10259783520851541
2.0,surprisal,5,1.0,sqrt,False,15,0.720508166969147,0.3780746549292196,0.7092516761010077,0.20689655172413793,0.46153846153846156,0.23904572186687872
2.0,entropy,3,1.0,sqrt,False,10,0.20689655172413793,0.12386830281508159,0.5074270344052351,0.20689655172413793,0.34285714285714286,0.0
2.0,entropy,3,1.0,len,False,15,0.20689655172413793,0.12281358268141408,0.5062728331125296,0.20689655172413793,0.34285714285714286,0.0
3.0,surprisal,5,0.25,sqrt,False,10,0.6206896551724138,0.3448412819388608,0.6891284274760127,0.20689655172413793,0.44266666666666665,0.2519763153394848
2.5,entropy,5,1.0,len,True,20,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
1.0,entropy,3,0.25,sqrt,False,15,0.7114337568058077,0.40195067822810365,0.7151130113613553,0.20689655172413793,0.4536082474226804,1.2572371141874243
2.0,surprisal,2,0.25,len,False,15,0.515426497277677,0.26325514654531695,0.6286181701393071,0.20689655172413793,0.40268456375838924,0.06451612903225806
3.0,entropy,2,1.0,sqrt,True,5,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
2.5,surprisal,2,1.0,sqrt,False,10,0.6515426497277677,0.318641674782999,0.661447669517042,0.20689655172413793,0.44508670520231214,0.12909944487358055
3.0,surprisal,3,0.5,len,False,5,0.7313974591651543,0.34211051583787405,0.685374764141475,0.20689655172413793,0.4351145038167939,0.05970149253731343
2.5,entropy,2,1.0,none,False,20,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
1.0,entropy,5,0.5,sqrt,False,10,0.7005444646098004,0.4027346829414178,0.7310610622666506,0.20689655172413793,0.4827586206896552,0.8728715609439696
2.0,surprisal,3,0.25,none,False,15,0.6606170598911071,0.3250934169659311,0.686007065719218,0.20689655172413793,0.44510385756676557,3.0
1.0,entropy,2,0.25,sqrt,False,15,0.6733212341197822,0.40609275280518964,0.7170299891605444,0.20689655172413793,0.4578313253012048,1.091089451179962
1.5,surprisal,5,0.5,sqrt,False,5,0.6733212341197822,0.3917569091948022,0.7073748444337388,0.20689655172413793,0.46107784431137727,0.4629100498862757
3.0,surprisal,3,1.0,len,False,5,0.7150635208711433,0.2873756781987402,0.6577040427154843,0.20689655172413793,0.44912280701754387,0.018867924528301886
3.0,surprisal,5,1.0,sqrt,True,20,0.7041742286751361,0.2941214308363715,0.6592797783933518,0.20689655172413793,0.45484949832775917,0.029310694988872548
2.5,entropy,5,0.25,len,True,15,0.4791288566243194,0.2621323160211218,0.6074410855514071,0.20689655172413793,0.39832285115303984,0.0004791569427432102
1.0,surprisal,2,0.25,none,False,15,0.6406533575317604,0.37369006694744583,0.7056385242281906,0.20689655172413793,0.45604395604395603,4.0
0.5,entropy,2,1.0,len,False,20,0.7150635208711433,0.44298396872383433,0.7479726203380305,0.20689655172413793,0.4713804713804714,0.1891891891891892
2.5,entropy,2,0.5,len,False,15,0.6551724137931034,0.2816547820313572,0.6587378056124292,0.20689655172413793,0.4444444444444444,0.006535947712418301
0.5,entropy,5,1.0,len,True,15,0.6896551724137931,0.4757153021402288,0.7560921755188887,0.20689655172413793,0.4864864864864865,0.055349800873725145
1.0,surprisal,2,0.5,none,False,10,0.6715063520871143,0.37057355393062363,0.6994058372475812,0.20689655172413793,0.45645645645645644,4.0
2.5,surprisal,2,1.0,len,False,20,0.6733212341197822,0.27207815439457184,0.65042755630495,0.20689655172413793,0.45121951219512196,0.022222222222222223
3.0,entropy,3,1.0,len,False,5,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
2.0,entropy,2,0.25,len,True,15,0.39201451905626133,0.24717694789803787,0.5831125296077723,0.20689655172413793,0.38979963570127507,0.01199036465004333
1.0,entropy,2,0.25,len,False,10,0.6243194192377496,0.30161497568820395,0.6767232727126742,0.20689655172413793,0.4359673024523161,0.1888111888111888
0.5,surprisal,2,0.25,sqrt,True,10,0.617059891107078,0.3364961261174953,0.6888474045525713,0.20689655172413793,0.45478036175710596,2.361883193615199
2.5,surprisal,2,0.5,len,True,20,0.5970961887477314,0.27994958645167906,0.6386446665863744,0.20689655172413793,0.42487046632124353,0.0675090137852712
0.5,surprisal,3,0.25,none,False,10,0.6424682395644283,0.37464834012262693,0.6997671524348629,0.20689655172413793,0.4481792717086835,5.0
1.5,entropy,5,0.5,none,False,20,0.7332123411978222,0.3465283305861508,0.7169697699626641,0.20689655172413793,0.4842105263157895,4.0
2.0,surprisal,5,0.5,none,True,20,0.6642468239564429,0.33212927235603795,0.6915773415231442,0.20689655172413793,0.4668587896253602,3.5567271067885478
3.0,surprisal,5,0.25,none,True,20,0.6370235934664247,0.2952648213838106,0.6625617246778273,0.20689655172413793,0.42857142857142855,4.136459742432617
0.5,surprisal,5,0.5,len,True,15,0.6588021778584392,0.34154907497898296,0.7014231803765707,0.20689655172413793,0.45977011494252873,0.2601746451967201
0.5,surprisal,5,1.0,sqrt,True,15,0.662431941923775,0.39643663235191645,0.7241860371753182,0.20689655172413793,0.47752808988764045,0.6512334362843982
3.0,entropy,3,1.0,len,True,15,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
1.0,entropy,5,0.25,len,True,20,0.5081669691470054,0.3019215945008668,0.6384941185916737,0.20689655172413793,0.4146868250539957,0.12409453435606246
1.0,surprisal,2,0.5,none,True,20,0.6932849364791288,0.3597090049698291,0.7043036653418443,0.20689655172413793,0.4668769716088328,8.200127113263616
1.5,surprisal,2,0.5,sqrt,False,10,0.7168784029038112,0.36877998140675156,0.6911859167369224,0.20689655172413793,0.45454545454545453,0.6123724356957946
2.5,surprisal,2,1.0,sqrt,True,20,0.6842105263157895,0.3086916651498248,0.6655626480388614,0.20689655172413793,0.4423076923076923,0.11769904263719098
2.0,surprisal,5,0.25,none,False,15,0.6696914700544465,0.3197913146883285,0.6884258701674094,0.20689655172413793,0.4484848484848485,3.0
1.5,surprisal,2,1.0,len,True,15,0.6569872958257713,0.3275236081263817,0.6856658235978963,0.20689655172413793,0.45217391304347826,0.047189408956442094
0.5,surprisal,2,0.5,none,False,15,0.6678765880217786,0.3858553475947745,0.7124633666546228,0.20689655172413793,0.4633431085043988,5.0
2.5,surprisal,3,1.0,len,False,15,0.6751361161524501,0.273341619216592,0.6498956200570075,0.20689655172413793,0.4492307692307692,0.022222222222222223
2.5,entropy,2,0.5,none,True,10,0.7241379310344828,0.3410603470035471,0.686017102252198,0.20689655172413793,0.4492753623188406,0.30259281150654127
1.0,entropy,3,1.0,sqrt,True,15,0.7549909255898367,0.4446961980129197,0.7333493917861014,0.20689655172413793,0.47876447876447875,0.1098942856916288
1.0,entropy,5,0.5,none,False,5,0.6333938294010889,0.3747140079625987,0.7128648279738248,0.20689655172413793,0.4540540540540541,4.0
1.5,surprisal,5,0.5,none,False,20,0.7277676950998185,0.3493979694312064,0.7063310450038138,0.20689655172413793,0.45652173913043476,4.0
3.0,entropy,5,0.25,none,True,5,0.6588021778584392,0.3597786634857299,0.6814805893452166,0.20689655172413793,0.4303030303030303,1.6464075948350319
3.0,entropy,5,1.0,sqrt,True,15,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
2.5,entropy,3,1.0,len,True,15,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
0.5,entropy,5,1.0,sqrt,False,10,0.6805807622504537,0.4257454246277552,0.7368822513950781,0.20689655172413793,0.47928994082840237,0.8111071056538127
0.5,surprisal,3,0.25,len,True,10,0.5626134301270418,0.2810697086518833,0.6493034646111847,0.20689655172413793,0.4329411764705882,0.37489029426470566
2.5,entropy,2,1.0,sqrt,False,20,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
1.0,surprisal,5,1.0,len,True,5,0.6442831215970962,0.37541044550755676,0.7094122606286885,0.20689655172413793,0.45251396648044695,0.06465773811353084
2.0,entropy,2,0.25,len,True,5,0.47186932849364793,0.3198002944449837,0.636637359990365,0.20689655172413793,0.40973630831643004,0.06911454479647641
2.0,surprisal,3,0.5,sqrt,False,20,0.5916515426497277,0.3706917017683981,0.6856758601308763,0.20689655172413793,0.42748091603053434,0.2672612419124244
3.0,surprisal,5,0.5,len,True,5,0.6279491833030852,0.30920466290748083,0.6857561523947168,0.20689655172413793,0.450402144772118,0.0413249708178917
2.5,surprisal,5,1.0,len,True,10,0.6678765880217786,0.29245725855015825,0.6601228471636758,0.20689655172413793,0.4471299093655589,0.0050097046365925125
2.0,entropy,2,0.5,len,False,10,0.5444646098003629,0.33310850390648367,0.660805331406319,0.20689655172413793,0.425629290617849,0.022222222222222223
2.0,surprisal,2,0.5,len,True,20,0.6116152450090744,0.2843388681375701,0.6443855634509615,0.20689655172413793,0.42780748663101603,0.10847913708110708
3.0,entropy,2,0.25,len,True,20,0.5045372050816697,0.2196245084331129,0.5502830302300373,0.20689655172413793,0.36363636363636365,0.0036969912167635097
3.0,entropy,2,1.0,sqrt,True,20,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
1.0,surprisal,2,0.25,sqrt,True,20,0.6678765880217786,0.31985225468191564,0.6704203300012044,0.20689655172413793,0.43343653250773995,2.20549500575959
2.0,surprisal,5,0.5,none,False,15,0.6279491833030852,0.32192790079878614,0.6948793608735798,0.20689655172413793,0.43213296398891965,2.0
2.0,entropy,3,0.5,len,False,15,0.5462794918330308,0.33065835743791083,0.6685936809988358,0.20689655172413793,0.4318181818181818,0.011235955056179775
1.5,surprisal,3,1.0,none,False,15,0.7241379310344828,0.34824676469923604,0.7037616925609218,0.20689655172413793,0.43283582089552236,3.0
0.5,surprisal,2,1.0,none,False,5,0.691470054446461,0.39420220170684556,0.7102252198000722,0.20689655172413793,0.4620253164556962,5.0
2.0,surprisal,2,1.0,len,False,5,0.6007259528130672,0.3263947461257955,0.68008551126099,0.20689655172413793,0.4387755102040816,0.023255813953488372
3.0,surprisal,3,0.25,len,True,20,0.49364791288566245,0.2594971434408388,0.5947047251997271,0.20689655172413793,0.4,0.0481196481739992
0.5,surprisal,3,0.5,len,False,10,0.6878402903811253,0.3550663804849024,0.7067927255208961,0.20689655172413793,0.44516129032258067,0.16981132075471697
1.0,entropy,5,0.25,sqrt,False,10,0.676950998185118,0.3834905279956222,0.7043137018748243,0.20689655172413793,0.4573170731707317,0.9805806756909202
0.5,entropy,3,0.5,none,False,15,0.6987295825771325,0.3902939488791601,0.7097836123489502,0.20689655172413793,0.45394736842105265,9.0
2.5,entropy,2,0.25,len,True,20,0.44283121597096187,0.238909761765374,0.5734874944799069,0.20689655172413793,0.4015594541910331,0.0003917183865556733
3.0,surprisal,2,1.0,sqrt,False,15,0.6733212341197822,0.3124448940510132,0.6527158858244008,0.20689655172413793,0.4375,0.08084520834544433
1.0,entropy,3,1.0,len,False,5,0.6950998185117967,0.4100989092905478,0.7265546589586094,0.20689655172413793,0.46835443037974683,0.05405405405405406
2.5,entropy,3,1.0,len,False,5,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
2.0,entropy,2,0.25,none,True,20,0.4301270417422868,0.31963438145825523,0.650216789112369,0.20689655172413793,0.40076335877862596,0.5340929039678226
1.5,surprisal,3,0.5,sqrt,True,20,0.6243194192377496,0.3409909261374952,0.6916777068529447,0.20689655172413793,0.45382585751978893,0.778939071221961
2.5,entropy,3,0.25,len,False,20,0.4591651542649728,0.24756045406378185,0.5749327552290336,0.20689655172413793,0.404,0.011235955056179775
